participant_code,timestamp,interval,red,green,white,black
20190429_41_1,1528258073257,797252,0,0,0,1
20190429_41_1,1528258074061,804,0,0,0,0
20190429_41_1,1528258075116,1055,0,1,0,0
20190429_41_1,1528258075619,503,0,0,0,0
20190429_41_1,1528258076975,1356,0,0,1,0
20190429_41_1,1528258077930,955,0,0,0,0
20190429_41_1,1528258079134,1204,1,0,0,0
20190429_41_1,1528258079838,704,0,0,0,0
20190429_41_1,1528258079990,152,1,0,0,0
20190429_41_1,1528258080343,353,0,0,0,0
20190429_41_1,1528258081699,1356,1,0,0,0
20190429_41_1,1528258082203,504,0,0,0,0
20190429_41_1,1528258082556,353,1,0,0,0
20190429_41_1,1528258082809,253,0,0,0,0
20190429_41_1,1528258083112,303,1,0,0,0
20190429_41_1,1528258083364,252,0,0,0,0
20190429_41_1,1528258083820,456,1,0,0,0
20190429_41_1,1528258084073,253,0,0,0,0
20190429_41_1,1528258084478,405,1,0,0,0
20190429_41_1,1528258084730,252,0,0,0,0
20190429_41_1,1528258085033,303,1,0,0,0
20190429_41_1,1528258085787,754,0,0,0,0
20190429_41_1,1528258088195,2408,0,0,0,1
20190429_41_1,1528258088248,53,0,1,0,1
20190429_41_1,1528258090354,2106,1,1,0,1
20190429_41_1,1528258091308,954,0,1,0,1
20190429_41_1,1528258091360,52,1,1,0,1
20190429_41_1,1528258091915,555,1,1,1,1
20190429_41_1,1528258097733,5818,1,0,1,1
20190429_41_1,1528258097835,102,0,0,0,1
20190429_41_1,1528258097938,103,0,0,0,0
20190429_41_1,1528258100045,2107,0,1,0,0
20190429_41_1,1528258101802,1757,1,1,0,0
20190429_41_1,1528258104862,3060,0,1,0,0
20190429_41_1,1528258105015,153,0,0,0,0
20190429_41_1,1528258106722,1707,0,0,1,0
20190429_41_1,1528258111134,4412,0,0,0,0
20190429_41_1,1528258126324,15190,1,0,0,0
20190429_41_1,1528258126426,102,0,0,0,0
20190429_41_1,1528258126628,202,1,0,0,0
20190429_41_1,1528258126731,103,0,0,0,0
20190429_41_1,1528258126934,203,1,0,0,0
20190429_41_1,1528258126986,52,0,0,0,0
20190429_41_1,1528258127189,203,1,0,0,0
20190429_41_1,1528258127291,102,0,0,0,0
20190429_41_1,1528258127493,202,1,0,0,0
20190429_41_1,1528258127596,103,0,0,0,0
20190429_41_1,1528258127798,202,1,0,0,0
20190429_41_1,1528258127900,102,0,0,0,0
20190429_41_1,1528258132315,4415,0,0,1,0
20190429_41_1,1528258132417,102,0,0,0,0
20190429_41_1,1528258133322,905,0,1,0,0
20190429_41_1,1528258133374,52,0,1,0,1
20190429_41_1,1528258134880,1506,0,0,0,1
20190429_41_1,1528258134932,52,0,0,0,0
20190429_41_1,1528258138042,3110,0,0,0,1
20190429_41_1,1528258138144,102,0,0,0,0
20190429_41_1,1528258138297,153,0,0,0,1
20190429_41_1,1528258138349,52,0,1,0,1
20190429_41_1,1528258139156,807,0,0,0,1
20190429_41_1,1528258139208,52,0,0,0,0
20190429_41_1,1528258146834,7626,1,0,0,0
20190429_41_1,1528258146890,56,1,1,0,0
20190429_41_1,1528258147247,357,0,0,0,0
20190429_41_1,1528258148507,1260,1,1,0,0
20190429_41_1,1528258148762,255,0,0,0,0
20190429_41_1,1528258151082,2320,0,0,0,1
20190429_41_1,1528258151184,102,0,1,0,1
20190429_41_1,1528258152641,1457,0,0,0,0
20190429_41_1,1528258154652,2011,1,0,0,0
20190429_41_1,1528258154754,102,1,0,1,0
20190429_41_1,1528258156109,1355,0,0,1,0
20190429_41_1,1528258156265,156,0,0,0,0
20190429_41_1,1528258160532,4267,0,0,1,0
20190429_41_1,1528258163094,2562,0,0,0,0
20190429_41_1,1528258165657,2563,0,0,1,0
20190429_41_1,1528258165814,157,0,0,0,0
20190429_41_1,1528258166422,608,0,1,0,0
20190429_41_1,1528258166629,207,0,1,1,0
20190429_41_1,1528258168141,1512,0,0,1,0
20190429_41_1,1528258168197,56,0,0,0,0
20190429_41_1,1528258170310,2113,0,1,0,0
20190429_41_1,1528258170365,55,0,1,1,0
20190429_41_1,1528258171671,1306,0,0,1,0
20190429_41_1,1528258171725,54,0,0,0,0
