participant_code,timestamp,interval,red,green,white,black
20190412_26_4,1528233474159,840477,0,1,0,0
20190412_26_4,1528233474311,152,0,0,0,0
20190412_26_4,1528233479076,4765,1,1,0,0
20190412_26_4,1528233479178,102,1,1,0,1
20190412_26_4,1528233479230,52,1,1,1,1
20190412_26_4,1528233480135,905,1,1,0,1
20190412_26_4,1528233480336,201,1,1,0,0
20190412_26_4,1528233481191,855,1,0,0,0
20190412_26_4,1528233482646,1455,1,0,1,0
20190412_26_4,1528233484302,1656,1,1,1,1
20190412_26_4,1528233485005,703,0,1,1,1
20190412_26_4,1528233485560,555,1,1,1,1
20190412_26_4,1528233487720,2160,0,1,1,1
20190412_26_4,1528233487772,52,0,1,0,1
20190412_26_4,1528233489378,1606,0,1,0,0
20190412_26_4,1528233490482,1104,0,1,0,1
20190412_26_4,1528233490684,202,0,0,0,1
20190412_26_4,1528233491438,754,0,0,0,0
20190412_26_4,1528233493394,1956,0,0,0,1
20190412_26_4,1528233493646,252,0,0,1,1
20190412_26_4,1528233494298,652,0,0,0,1
20190412_26_4,1528233494902,604,0,0,0,0
20190412_26_4,1528233495805,903,0,0,1,0
20190412_26_4,1528233495908,103,0,0,0,0
20190412_26_4,1528233496111,203,0,0,0,1
20190412_26_4,1528233496218,107,0,0,1,1
20190412_26_4,1528233497528,1310,0,0,0,0
20190412_26_4,1528233503749,6221,1,0,0,0
20190412_26_4,1528233503956,207,0,0,0,0
20190412_26_4,1528233504010,54,1,0,0,0
20190412_26_4,1528233504115,105,0,0,0,0
20190412_26_4,1528233504216,101,1,0,0,0
20190412_26_4,1528233504369,153,0,0,0,0
20190412_26_4,1528233504471,102,1,0,0,0
20190412_26_4,1528233504623,152,0,0,0,0
20190412_26_4,1528233504725,102,1,0,0,0
20190412_26_4,1528233504877,152,0,0,0,0
20190412_26_4,1528233504978,101,1,0,0,0
20190412_26_4,1528233505131,153,0,0,0,0
20190412_26_4,1528233505785,654,0,0,0,1
20190412_26_4,1528233505836,51,0,0,1,1
20190412_26_4,1528233507492,1656,0,0,1,0
20190412_26_4,1528233507546,54,0,0,0,0
20190412_26_4,1528233508049,503,0,1,0,0
20190412_26_4,1528233508302,253,1,1,0,0
20190412_26_4,1528233508856,554,0,0,0,0
20190412_26_4,1528233509659,803,0,0,1,0
20190412_26_4,1528233509761,102,0,0,1,1
20190412_26_4,1528233510765,1004,0,0,1,0
20190412_26_4,1528233510817,52,0,0,0,0
20190412_26_4,1528233512926,2109,0,0,1,0
20190412_26_4,1528233512982,56,0,0,1,1
20190412_26_4,1528233516591,3609,0,0,0,0
20190412_26_4,1528233529073,12482,0,0,1,0
20190412_26_4,1528233529527,454,0,0,0,0
20190412_26_4,1528233529679,152,0,0,0,1
20190412_26_4,1528233529781,102,0,0,1,1
20190412_26_4,1528233530483,702,0,0,1,0
20190412_26_4,1528233530535,52,0,0,0,0
