participant_code,timestamp,interval,red,green,white,black
201904_31_3,1528245973432,550795,0,0,1,0
201904_31_3,1528245973685,253,1,0,1,0
201904_31_3,1528245974137,452,0,0,1,0
201904_31_3,1528245974290,153,0,0,0,0
201904_31_3,1528245976799,2509,0,0,1,0
201904_31_3,1528245977253,454,0,0,0,0
201904_31_3,1528245978006,753,1,0,0,0
201904_31_3,1528245978711,705,0,0,0,0
201904_31_3,1528245980568,1857,1,0,1,0
201904_31_3,1528245980620,52,0,0,1,0
201904_31_3,1528245980672,52,1,0,1,0
201904_31_3,1528245981224,552,0,0,1,0
201904_31_3,1528245981276,52,0,0,0,0
201904_31_3,1528245989198,7922,0,0,0,1
201904_31_3,1528245989649,451,0,0,0,0
201904_31_3,1528245993460,3811,0,0,0,1
201904_31_3,1528245993562,102,0,0,1,1
201904_31_3,1528245993814,252,0,0,0,0
201904_31_3,1528245996023,2209,0,1,0,0
201904_31_3,1528245996074,51,1,1,0,0
201904_31_3,1528245996381,307,0,1,0,0
201904_31_3,1528245996436,55,0,0,0,0
201904_31_3,1528246005710,9274,0,0,0,1
201904_31_3,1528246005762,52,0,0,1,1
201904_31_3,1528246006066,304,0,0,0,1
201904_31_3,1528246006119,53,0,0,0,0
201904_31_3,1528246008778,2659,0,1,0,0
201904_31_3,1528246009132,354,0,0,0,0
201904_31_3,1528246027731,18599,0,0,1,0
201904_31_3,1528246027783,52,1,0,1,0
201904_31_3,1528246029943,2160,0,0,0,0
201904_31_3,1528246038619,8676,0,0,0,1
201904_31_3,1528246040176,1557,0,0,0,0
201904_31_3,1528246043032,2856,0,0,1,0
201904_31_3,1528246043936,904,0,0,0,0
201904_31_3,1528246046796,2860,0,0,1,0
201904_31_3,1528246047048,252,1,0,1,0
201904_31_3,1528246047351,303,0,0,1,0
201904_31_3,1528246047503,152,0,0,0,0
201904_31_3,1528246047954,451,0,0,1,0
201904_31_3,1528246048508,554,0,0,0,0
201904_31_3,1528246048760,252,0,0,1,0
201904_31_3,1528246049112,352,0,0,0,0
201904_31_3,1528246049314,202,0,0,1,0
201904_31_3,1528246049516,202,1,0,1,0
201904_31_3,1528246049618,102,0,0,1,0
201904_31_3,1528246049770,152,0,0,0,0
201904_31_3,1528246050125,355,0,0,1,0
201904_31_3,1528246050227,102,1,0,1,0
201904_31_3,1528246050479,252,0,0,1,0
201904_31_3,1528246050531,52,0,0,0,0
201904_31_3,1528246055996,5465,1,0,0,0
201904_31_3,1528246056199,203,0,0,0,0
201904_31_3,1528246056550,351,1,0,0,0
201904_31_3,1528246056753,203,0,0,0,0
201904_31_3,1528246057207,454,1,0,0,0
201904_31_3,1528246057410,203,0,0,0,0
201904_31_3,1528246057763,353,1,0,0,0
201904_31_3,1528246057916,153,0,0,0,0
201904_31_3,1528246058118,202,1,0,0,0
201904_31_3,1528246058271,153,0,0,0,0
201904_31_3,1528246058422,151,1,0,0,0
201904_31_3,1528246058575,153,0,0,0,0
201904_31_3,1528246070005,11430,0,0,1,0
201904_31_3,1528246070057,52,0,0,1,1
201904_31_3,1528246070962,905,0,0,1,0
201904_31_3,1528246071114,152,0,0,0,0
201904_31_3,1528246072269,1155,0,1,0,0
201904_31_3,1528246072321,52,1,1,0,0
201904_31_3,1528246073025,704,0,0,0,0
201904_31_3,1528246077190,4165,0,1,0,0
201904_31_3,1528246077392,202,0,1,1,0
201904_31_3,1528246077794,402,0,0,1,0
201904_31_3,1528246077895,101,0,0,0,0
201904_31_3,1528246086568,8673,0,0,1,0
201904_31_3,1528246086620,52,0,1,1,0
201904_31_3,1528246087373,753,0,0,0,0
201904_31_3,1528246087677,304,0,0,1,0
201904_31_3,1528246087728,51,0,1,1,0
201904_31_3,1528246087829,101,0,0,0,0
201904_31_3,1528246087931,102,0,0,1,0
201904_31_3,1528246087984,53,0,1,1,0
201904_31_3,1528246088035,51,0,1,0,0
201904_31_3,1528246088088,53,0,0,0,0
