participant_code,timestamp,interval,red,green,white,black
20190328_05_4,1528192780641,1050425,1,0,0,0
20190328_05_4,1528192781094,453,0,0,0,0
20190328_05_4,1528192782148,1054,0,0,1,0
20190328_05_4,1528192782500,352,0,0,0,0
20190328_05_4,1528192783354,854,0,0,0,1
20190328_05_4,1528192783556,202,0,0,0,0
20190328_05_4,1528192784861,1305,0,1,0,0
20190328_05_4,1528192785163,302,0,0,0,0
20190328_05_4,1528192785866,703,0,1,0,0
20190328_05_4,1528192786069,203,0,0,0,0
20190328_05_4,1528192787023,954,1,0,0,0
20190328_05_4,1528192787224,201,0,0,0,0
20190328_05_4,1528192787878,654,0,0,0,1
20190328_05_4,1528192787980,102,0,0,0,0
20190328_05_4,1528192788683,703,0,0,1,0
20190328_05_4,1528192789035,352,0,0,0,0
20190328_05_4,1528192791093,2058,0,0,1,0
20190328_05_4,1528192791246,153,0,0,0,0
20190328_05_4,1528192791900,654,0,0,0,1
20190328_05_4,1528192792051,151,0,0,0,0
20190328_05_4,1528192792805,754,1,0,0,0
20190328_05_4,1528192792956,151,0,0,0,0
20190328_05_4,1528192793660,704,0,1,0,0
20190328_05_4,1528192793912,252,0,0,0,0
20190328_05_4,1528192795067,1155,0,0,0,1
20190328_05_4,1528192795218,151,0,0,0,0
20190328_05_4,1528192795822,604,0,0,1,0
20190328_05_4,1528192796327,505,0,0,0,0
20190328_05_4,1528192796429,102,0,0,1,0
20190328_05_4,1528192796531,102,0,0,0,0
20190328_05_4,1528192797485,954,1,0,0,0
20190328_05_4,1528192797888,403,0,0,0,0
20190328_05_4,1528192798091,203,0,1,0,0
20190328_05_4,1528192798294,203,0,0,0,0
20190328_05_4,1528192798647,353,0,0,0,1
20190328_05_4,1528192798849,202,0,0,0,0
20190328_05_4,1528192799752,903,0,0,1,0
20190328_05_4,1528192799954,202,0,0,0,0
20190328_05_4,1528192800407,453,0,0,0,1
20190328_05_4,1528192800608,201,0,0,0,0
20190328_05_4,1528192800960,352,1,0,0,0
20190328_05_4,1528192801163,203,0,0,0,0
20190328_05_4,1528192801215,52,0,1,0,0
20190328_05_4,1528192801467,252,0,0,0,0
20190328_05_4,1528192802471,1004,0,1,0,0
20190328_05_4,1528192802673,202,0,0,0,0
20190328_05_4,1528192803776,1103,0,0,0,1
20190328_05_4,1528192803928,152,0,0,0,0
20190328_05_4,1528192804382,454,1,0,0,0
20190328_05_4,1528192804533,151,0,0,0,0
20190328_05_4,1528192805087,554,0,0,1,0
20190328_05_4,1528192805189,102,0,0,0,0
20190328_05_4,1528192805341,152,0,0,1,0
20190328_05_4,1528192805444,103,0,0,0,0
20190328_05_4,1528192806448,1004,0,0,1,0
20190328_05_4,1528192806900,452,0,0,0,0
20190328_05_4,1528192807453,553,1,0,0,0
20190328_05_4,1528192807706,253,0,0,0,0
20190328_05_4,1528192809312,1606,0,1,0,0
20190328_05_4,1528192809465,153,0,0,0,0
20190328_05_4,1528192809918,453,0,0,0,1
20190328_05_4,1528192810069,151,0,0,0,0
20190328_05_4,1528192810673,604,0,0,1,0
20190328_05_4,1528192810925,252,0,0,0,0
20190328_05_4,1528192815639,4714,0,0,0,1
20190328_05_4,1528192815792,153,0,0,0,0
20190328_05_4,1528192816346,554,1,0,0,0
20190328_05_4,1528192816498,152,0,0,0,0
20190328_05_4,1528192816951,453,0,1,0,0
20190328_05_4,1528192817105,154,0,0,0,0
20190328_05_4,1528192817207,102,0,0,1,0
20190328_05_4,1528192817409,202,0,0,0,0
20190328_05_4,1528192818013,604,0,0,0,1
20190328_05_4,1528192818165,152,0,0,0,0
20190328_05_4,1528192818718,553,1,0,0,0
20190328_05_4,1528192818770,52,0,0,0,0
20190328_05_4,1528192819423,653,0,0,1,0
20190328_05_4,1528192819525,102,0,0,0,0
20190328_05_4,1528192819978,453,1,0,0,0
20190328_05_4,1528192820482,504,0,0,0,0
20190328_05_4,1528192822038,1556,0,0,0,1
20190328_05_4,1528192822190,152,0,0,0,0
20190328_05_4,1528192823396,1206,0,0,1,0
20190328_05_4,1528192823548,152,0,0,0,0
20190328_05_4,1528192824351,803,0,1,0,0
20190328_05_4,1528192824453,102,0,0,0,0
20190328_05_4,1528192825406,953,1,0,0,0
20190328_05_4,1528192825809,403,0,0,0,0
20190328_05_4,1528192826713,904,1,0,0,0
20190328_05_4,1528192826815,102,0,0,0,0
20190328_05_4,1528192827468,653,0,1,0,0
20190328_05_4,1528192827571,103,0,0,0,0
20190328_05_4,1528192828175,604,0,0,1,0
20190328_05_4,1528192828276,101,0,0,0,0
20190328_05_4,1528192828929,653,0,0,0,1
20190328_05_4,1528192829082,153,0,0,0,0
20190328_05_4,1528192830538,1456,0,0,0,1
20190328_05_4,1528192830740,202,0,0,0,0
20190328_05_4,1528192831294,554,0,1,0,0
20190328_05_4,1528192831446,152,0,0,0,0
20190328_05_4,1528192832199,753,0,0,1,0
20190328_05_4,1528192832302,103,0,0,0,0
20190328_05_4,1528192832855,553,1,0,0,0
20190328_05_4,1528192832957,102,0,0,0,0
20190328_05_4,1528192834112,1155,1,0,0,0
20190328_05_4,1528192834314,202,0,0,0,0
20190328_05_4,1528192835119,805,0,0,0,1
20190328_05_4,1528192835521,402,0,0,0,0
20190328_05_4,1528192836376,855,0,0,1,0
20190328_05_4,1528192836778,402,0,0,0,0
20190328_05_4,1528192837832,1054,0,1,0,0
20190328_05_4,1528192838485,653,0,0,0,0
20190328_05_4,1528192839489,1004,0,0,0,1
20190328_05_4,1528192839742,253,0,0,0,0
20190328_05_4,1528192840495,753,0,1,0,0
20190328_05_4,1528192840598,103,0,0,0,0
20190328_05_4,1528192842305,1707,0,0,1,0
20190328_05_4,1528192842407,102,1,0,1,0
20190328_05_4,1528192842710,303,0,0,0,0
20190328_05_4,1528192845921,3211,0,0,1,0
20190328_05_4,1528192846374,453,0,0,0,0
20190328_05_4,1528192847127,753,0,0,1,1
20190328_05_4,1528192847580,453,0,0,0,0
20190328_05_4,1528192848884,1304,1,0,0,0
20190328_05_4,1528192848935,51,1,1,0,0
20190328_05_4,1528192849288,353,0,1,0,0
20190328_05_4,1528192849341,53,0,0,0,0
20190328_05_4,1528192851399,2058,1,1,0,0
20190328_05_4,1528192853607,2208,1,0,0,0
20190328_05_4,1528192853659,52,0,0,0,0
20190328_05_4,1528192854212,553,1,0,0,0
20190328_05_4,1528192854267,55,1,1,0,0
20190328_05_4,1528192857026,2759,1,0,0,0
20190328_05_4,1528192857279,253,0,0,0,0
20190328_05_4,1528192860891,3612,0,1,0,0
20190328_05_4,1528192861192,301,1,1,0,0
20190328_05_4,1528192863250,2058,0,0,0,0
