participant_code,timestamp,interval,red,green,white,black
20190429_37_1,1528257039594,5518157,0,1,1,0
20190429_37_1,1528257040002,408,0,0,0,0
20190429_37_1,1528257046526,6524,0,0,1,0
20190429_37_1,1528257046583,57,1,0,1,0
20190429_37_1,1528257047087,504,0,0,1,0
20190429_37_1,1528257047138,51,0,0,0,0
20190429_37_1,1528257048995,1857,1,0,0,1
20190429_37_1,1528257050049,1054,0,0,0,1
20190429_37_1,1528257050102,53,0,0,0,0
20190429_37_1,1528257051106,1004,0,0,1,0
20190429_37_1,1528257051560,454,0,0,0,0
20190429_37_1,1528257051912,352,0,0,1,0
20190429_37_1,1528257052314,402,0,0,0,0
20190429_37_1,1528257053720,1406,0,0,0,1
20190429_37_1,1528257053773,53,0,0,1,1
20190429_37_1,1528257054025,252,0,0,0,1
20190429_37_1,1528257054127,102,0,0,0,0
20190429_37_1,1528257054981,854,0,0,1,1
20190429_37_1,1528257055585,604,0,0,0,0
20190429_37_1,1528257056187,602,0,0,1,0
20190429_37_1,1528257056240,53,0,0,1,1
20190429_37_1,1528257058546,2306,0,0,1,0
20190429_37_1,1528257058649,103,0,0,0,0
20190429_37_1,1528257060054,1405,0,1,1,0
20190429_37_1,1528257060858,804,0,0,0,0
20190429_37_1,1528257061111,253,0,0,1,0
20190429_37_1,1528257061163,52,0,1,1,0
20190429_37_1,1528257061614,451,0,0,1,0
20190429_37_1,1528257061665,51,0,1,1,0
20190429_37_1,1528257062517,852,0,0,0,0
20190429_37_1,1528257063674,1157,1,0,0,0
20190429_37_1,1528257063827,153,1,0,0,1
20190429_37_1,1528257064530,703,0,0,0,1
20190429_37_1,1528257064583,53,0,0,0,0
20190429_37_1,1528257065889,1306,0,0,1,0
20190429_37_1,1528257066041,152,0,0,1,1
20190429_37_1,1528257066594,553,0,0,0,0
20190429_37_1,1528257067297,703,0,0,1,0
20190429_37_1,1528257067601,304,0,0,1,1
20190429_37_1,1528257068152,551,0,0,0,1
20190429_37_1,1528257068254,102,0,0,0,0
20190429_37_1,1528257069261,1007,0,0,1,1
20190429_37_1,1528257069719,458,0,0,0,1
20190429_37_1,1528257069776,57,0,0,0,0
20190429_37_1,1528257070635,859,0,0,1,0
20190429_37_1,1528257071093,458,0,0,0,0
20190429_37_1,1528257071498,405,0,0,0,1
20190429_37_1,1528257071853,355,0,0,0,0
20190429_37_1,1528257072858,1005,0,0,1,1
20190429_37_1,1528257073212,354,0,0,0,1
20190429_37_1,1528257073265,53,0,0,0,0
20190429_37_1,1528257073619,354,0,0,1,1
20190429_37_1,1528257073921,302,0,0,0,1
20190429_37_1,1528257073974,53,0,0,0,0
20190429_37_1,1528257074278,304,0,0,1,1
20190429_37_1,1528257074580,302,0,0,0,0
20190429_37_1,1528257074834,254,0,0,0,1
20190429_37_1,1528257074887,53,0,0,1,1
20190429_37_1,1528257075140,253,0,0,1,0
20190429_37_1,1528257075192,52,0,0,0,0
20190429_37_1,1528257075444,252,0,0,1,0
20190429_37_1,1528257075496,52,0,0,1,1
20190429_37_1,1528257075749,253,0,0,0,1
20190429_37_1,1528257075801,52,0,0,0,0
20190429_37_1,1528257076004,203,0,0,1,0
20190429_37_1,1528257076056,52,0,0,1,1
20190429_37_1,1528257076309,253,0,0,0,0
20190429_37_1,1528257076662,353,0,0,1,0
20190429_37_1,1528257076713,51,0,0,1,1
20190429_37_1,1528257079323,2610,0,0,0,1
20190429_37_1,1528257079376,53,0,0,0,0
20190429_37_1,1528257079830,454,0,0,0,1
20190429_37_1,1528257079933,103,0,0,1,1
20190429_37_1,1528257080937,1004,0,0,1,0
20190429_37_1,1528257080989,52,0,0,0,0
20190429_37_1,1528257081343,354,0,0,1,1
20190429_37_1,1528257081696,353,0,0,0,1
20190429_37_1,1528257081748,52,0,0,0,0
20190429_37_1,1528257082001,253,0,0,1,1
20190429_37_1,1528257082254,253,0,0,0,1
20190429_37_1,1528257082305,51,0,0,0,0
20190429_37_1,1528257082457,152,0,0,0,1
20190429_37_1,1528257082509,52,0,0,1,1
20190429_37_1,1528257082963,454,0,0,0,1
20190429_37_1,1528257083015,52,0,0,0,0
20190429_37_1,1528257094347,11332,1,0,0,0
20190429_37_1,1528257094500,153,0,0,0,0
20190429_37_1,1528257094702,202,1,0,0,0
20190429_37_1,1528257094805,103,0,0,0,0
20190429_37_1,1528257094958,153,1,0,0,0
20190429_37_1,1528257095110,152,0,0,0,0
20190429_37_1,1528257095312,202,1,0,0,0
20190429_37_1,1528257095415,103,0,0,0,0
20190429_37_1,1528257095618,203,1,0,0,0
20190429_37_1,1528257095721,103,0,0,0,0
20190429_37_1,1528257095873,152,1,0,0,0
20190429_37_1,1528257096025,152,0,0,0,0
20190429_37_1,1528257098585,2560,0,0,0,1
20190429_37_1,1528257098637,52,0,0,1,1
20190429_37_1,1528257098991,354,0,0,0,0
20190429_37_1,1528257099996,1005,0,0,0,1
20190429_37_1,1528257100049,53,0,0,1,1
20190429_37_1,1528257100502,453,0,0,0,1
20190429_37_1,1528257100555,53,0,0,0,0
20190429_37_1,1528257100958,403,0,0,1,1
20190429_37_1,1528257101361,403,0,0,0,0
