participant_code,timestamp,interval,red,green,white,black
20192803_10_4,1528200553251,3213,0,0,1,0
20192803_10_4,1528200553554,303,0,0,0,0
20192803_10_4,1528200554808,1254,0,0,1,0
20192803_10_4,1528200555661,853,0,0,0,0
20192803_10_4,1528200558370,2709,1,0,0,0
20192803_10_4,1528200559826,1456,0,0,0,0
20192803_10_4,1528200561632,1806,0,1,0,0
20192803_10_4,1528200562085,453,0,0,0,0
20192803_10_4,1528200562839,754,0,0,0,1
20192803_10_4,1528200563241,402,0,0,0,0
20192803_10_4,1528200565700,2459,1,0,0,0
20192803_10_4,1528200565752,52,1,0,1,0
20192803_10_4,1528200566556,804,0,0,0,0
20192803_10_4,1528200568963,2407,0,0,1,0
20192803_10_4,1528200569617,654,0,0,0,0
20192803_10_4,1528200570872,1255,1,0,0,0
20192803_10_4,1528200571526,654,0,0,0,0
20192803_10_4,1528200572279,753,0,0,1,0
20192803_10_4,1528200572632,353,0,0,0,0
20192803_10_4,1528200573336,704,0,0,0,1
20192803_10_4,1528200573587,251,0,0,0,0
20192803_10_4,1528200574341,754,0,1,0,0
20192803_10_4,1528200575093,752,0,0,0,0
20192803_10_4,1528200575947,854,1,0,0,0
20192803_10_4,1528200576199,252,0,0,0,0
20192803_10_4,1528200576301,102,1,0,0,0
20192803_10_4,1528200576503,202,0,0,0,0
20192803_10_4,1528200576654,151,1,0,0,0
20192803_10_4,1528200576755,101,0,0,0,0
20192803_10_4,1528200576856,101,1,0,0,0
20192803_10_4,1528200577058,202,0,0,0,0
20192803_10_4,1528200577360,302,1,0,0,0
20192803_10_4,1528200577513,153,0,0,0,0
20192803_10_4,1528200577615,102,1,0,0,0
20192803_10_4,1528200578017,402,0,0,0,0
20192803_10_4,1528200578671,654,0,0,1,0
20192803_10_4,1528200578873,202,0,0,0,0
20192803_10_4,1528200578924,51,0,0,1,0
20192803_10_4,1528200579127,203,0,0,0,0
20192803_10_4,1528200579229,102,0,0,1,0
20192803_10_4,1528200579682,453,0,0,0,0
20192803_10_4,1528200580487,805,0,0,1,0
20192803_10_4,1528200580889,402,0,0,0,0
20192803_10_4,1528200589614,8725,0,0,1,0
20192803_10_4,1528200590570,956,0,0,0,0
20192803_10_4,1528200591126,556,0,0,0,1
20192803_10_4,1528200592685,1559,0,0,0,0
20192803_10_4,1528200593592,907,0,1,0,0
20192803_10_4,1528200597604,4012,0,0,0,0
20192803_10_4,1528200600867,3263,0,0,1,0
20192803_10_4,1528200600969,102,0,0,1,1
20192803_10_4,1528200601272,303,0,0,1,0
20192803_10_4,1528200601424,152,0,0,0,0
20192803_10_4,1528200601976,552,0,0,0,1
20192803_10_4,1528200602130,154,0,0,0,0
20192803_10_4,1528200603787,1657,0,0,1,0
20192803_10_4,1528200604289,502,0,0,0,0
20192803_10_4,1528200617575,13286,0,1,1,1
20192803_10_4,1528200617626,51,1,1,1,1
20192803_10_4,1528200618629,1003,0,0,1,1
20192803_10_4,1528200618682,53,0,0,0,0
20192803_10_4,1528200623594,4912,0,0,1,0
20192803_10_4,1528200623746,152,0,0,1,1
20192803_10_4,1528200623798,52,0,1,1,1
20192803_10_4,1528200623850,52,1,1,1,1
20192803_10_4,1528200624353,503,0,0,1,1
20192803_10_4,1528200624405,52,0,0,0,0
20192803_10_4,1528200626510,2105,0,1,0,1
20192803_10_4,1528200627766,1256,0,0,0,0
20192803_10_4,1528200630378,2612,0,1,0,0
20192803_10_4,1528200630480,102,0,1,0,1
20192803_10_4,1528200631887,1407,0,1,0,0
20192803_10_4,1528200632090,203,0,0,0,0
