participant_code,timestamp,interval,red,green,white,black
20190429_38_2,1528258297595,1196234,0,0,1,0
20190429_38_2,1528258299000,1405,0,0,0,0
20190429_38_2,1528258301260,2260,0,0,0,1
20190429_38_2,1528258301363,103,0,1,0,1
20190429_38_2,1528258301466,103,1,1,0,1
20190429_38_2,1528258301618,152,1,1,1,1
20190429_38_2,1528258304678,3060,1,0,0,1
20190429_38_2,1528258304731,53,0,0,0,0
20190429_38_2,1528258310497,5766,0,0,1,0
20190429_38_2,1528258310551,54,1,1,1,1
20190429_38_2,1528258311004,453,1,0,1,1
20190429_38_2,1528258311056,52,1,1,1,1
20190429_38_2,1528258311459,403,1,1,1,0
20190429_38_2,1528258311961,502,1,1,1,1
20190429_38_2,1528258312114,153,1,1,1,0
20190429_38_2,1528258312217,103,0,0,0,0
