participant_code,timestamp,interval,red,green,white,black
20190328_04_3,1528191630702,896486,0,0,1,0
20190328_04_3,1528191631054,352,0,0,0,0
20190328_04_3,1528191631909,855,1,0,0,0
20190328_04_3,1528191632462,553,0,0,0,0
20190328_04_3,1528191640233,7771,0,0,1,0
20190328_04_3,1528191640434,201,0,0,0,0
20190328_04_3,1528191640737,303,0,0,1,0
20190328_04_3,1528191640939,202,0,0,0,0
20190328_04_3,1528191641693,754,0,0,0,1
20190328_04_3,1528191641994,301,0,0,0,0
20190328_04_3,1528191642197,203,0,0,0,1
20190328_04_3,1528191642350,153,0,0,0,0
20190328_04_3,1528191643205,855,0,1,0,0
20190328_04_3,1528191643457,252,0,0,0,0
20190328_04_3,1528191644361,904,1,0,0,0
20190328_04_3,1528191644514,153,0,0,0,0
20190328_04_3,1528191645017,503,1,0,0,0
20190328_04_3,1528191645418,401,0,0,0,0
20190328_04_3,1528191645772,354,1,0,0,0
20190328_04_3,1528191645975,203,0,0,0,0
20190328_04_3,1528191646779,804,0,0,1,0
20190328_04_3,1528191646981,202,0,0,0,0
20190328_04_3,1528191647284,303,0,0,1,0
20190328_04_3,1528191647636,352,0,0,0,0
20190328_04_3,1528191648391,755,0,0,0,1
20190328_04_3,1528191649044,653,0,0,0,0
20190328_04_3,1528191651051,2007,1,0,0,0
20190328_04_3,1528191651505,454,0,0,0,0
20190328_04_3,1528191653661,2156,0,0,1,0
20190328_04_3,1528191653813,152,1,0,1,0
20190328_04_3,1528191655172,1359,0,0,1,0
20190328_04_3,1528191655223,51,0,0,0,0
20190328_04_3,1528191657631,2408,0,0,1,0
20190328_04_3,1528191657984,353,0,0,0,0
20190328_04_3,1528191661243,3259,0,0,1,0
20190328_04_3,1528191661747,504,0,0,0,0
20190328_04_3,1528191663503,1756,1,0,0,0
20190328_04_3,1528191663705,202,0,0,0,0
20190328_04_3,1528191665010,1305,0,0,1,0
20190328_04_3,1528191665263,253,0,0,0,0
20190328_04_3,1528191669430,4167,0,0,1,0
20190328_04_3,1528191669784,354,0,0,0,0
20190328_04_3,1528191670838,1054,1,0,0,0
20190328_04_3,1528191671091,253,0,0,0,0
20190328_04_3,1528191672345,1254,0,0,1,0
20190328_04_3,1528191672498,153,0,0,0,0
20190328_04_3,1528191673051,553,1,0,0,0
20190328_04_3,1528191673203,152,0,0,0,0
20190328_04_3,1528191674508,1305,0,0,1,0
20190328_04_3,1528191676317,1809,0,0,0,0
20190328_04_3,1528191677372,1055,0,0,1,0
20190328_04_3,1528191679579,2207,0,0,0,0
20190328_04_3,1528191680433,854,0,0,1,0
20190328_04_3,1528191680786,353,0,0,0,0
20190328_04_3,1528191681440,654,1,0,0,0
20190328_04_3,1528191682545,1105,0,0,0,0
20190328_04_3,1528191682898,353,1,0,0,0
20190328_04_3,1528191683401,503,0,0,0,0
20190328_04_3,1528191684506,1105,0,0,1,0
20190328_04_3,1528191685311,805,0,0,0,0
20190328_04_3,1528191686818,1507,0,0,1,0
20190328_04_3,1528191687371,553,0,0,0,0
20190328_04_3,1528191689178,1807,1,0,0,0
20190328_04_3,1528191689581,403,0,0,0,0
20190328_04_3,1528191693344,3763,0,0,1,0
20190328_04_3,1528191695051,1707,0,0,0,0
20190328_04_3,1528191695153,102,0,0,1,0
20190328_04_3,1528191695607,454,1,0,1,0
20190328_04_3,1528191695708,101,0,0,1,0
20190328_04_3,1528191695860,152,1,0,1,0
20190328_04_3,1528191697115,1255,1,0,0,0
20190328_04_3,1528191697167,52,0,0,0,0
20190328_04_3,1528191697871,704,1,0,0,0
20190328_04_3,1528191697973,102,1,0,1,0
20190328_04_3,1528191698727,754,0,0,1,0
20190328_04_3,1528191699080,353,0,0,0,0
20190328_04_3,1528191699734,654,0,0,1,0
20190328_04_3,1528191700037,303,0,0,0,0
20190328_04_3,1528191700390,353,0,0,1,0
20190328_04_3,1528191700746,356,0,0,0,0
20190328_04_3,1528191701655,909,1,0,0,0
20190328_04_3,1528191701811,156,0,0,0,0
20190328_04_3,1528191702618,807,0,0,1,0
20190328_04_3,1528191703075,457,0,0,0,0
20190328_04_3,1528191704733,1658,1,0,0,0
20190328_04_3,1528191705035,302,0,0,0,0
20190328_04_3,1528191709553,4518,0,0,1,0
20190328_04_3,1528191711259,1706,1,0,1,0
20190328_04_3,1528191711462,203,0,0,1,0
20190328_04_3,1528191711665,203,0,0,0,0
20190328_04_3,1528191713021,1356,0,0,1,0
20190328_04_3,1528191713525,504,0,0,0,0
20190328_04_3,1528191715030,1505,1,0,0,0
20190328_04_3,1528191717639,2609,0,0,0,0
20190328_04_3,1528191718744,1105,0,0,1,0
20190328_04_3,1528191720148,1404,0,0,0,0
20190328_04_3,1528191721365,1217,0,0,1,0
20190328_04_3,1528191721768,403,0,0,0,0
20190328_04_3,1528191722272,504,0,0,1,0
20190328_04_3,1528191722574,302,0,0,0,0
20190328_04_3,1528191723027,453,0,0,1,0
20190328_04_3,1528191723080,53,0,0,0,0
20190328_04_3,1528191723333,253,0,0,1,0
20190328_04_3,1528191724187,854,0,0,0,0
20190328_04_3,1528191724692,505,0,0,1,0
20190328_04_3,1528191725195,503,0,0,0,0
20190328_04_3,1528191726701,1506,0,0,1,0
20190328_04_3,1528191728406,1705,0,0,0,0
20190328_04_3,1528191729059,653,0,0,1,0
20190328_04_3,1528191730216,1157,0,0,0,0
