participant_code,timestamp,interval,red,green,white,black
20190412_18_1,1528221472586,401382,0,0,1,0
20190412_18_1,1528221473240,654,0,0,0,0
20190412_18_1,1528221474295,1055,0,0,1,1
20190412_18_1,1528221474797,502,0,0,0,0
20190412_18_1,1528221475901,1104,1,1,0,0
20190412_18_1,1528221476305,404,0,0,0,0
20190412_18_1,1528221477160,855,0,0,1,0
20190412_18_1,1528221482829,5669,0,0,0,0
20190412_18_1,1528221483136,307,0,0,1,0
20190412_18_1,1528221484595,1459,0,0,0,0
20190412_18_1,1528221485253,658,0,0,0,1
20190412_18_1,1528221485358,105,0,0,1,1
20190412_18_1,1528221485561,203,0,0,1,0
20190412_18_1,1528221485713,152,0,0,0,0
20190412_18_1,1528221486967,1254,0,0,0,1
20190412_18_1,1528221487521,554,0,0,1,0
20190412_18_1,1528221487573,52,1,0,1,1
20190412_18_1,1528221487725,152,1,1,1,1
20190412_18_1,1528221489031,1306,1,0,1,1
20190412_18_1,1528221489283,252,0,0,1,1
20190412_18_1,1528221489736,453,1,0,1,1
20190412_18_1,1528221489787,51,0,1,1,1
20190412_18_1,1528221489840,53,1,1,1,1
20190412_18_1,1528221489892,52,0,1,1,1
20190412_18_1,1528221489944,52,1,1,1,1
20190412_18_1,1528221490146,202,0,0,1,1
20190412_18_1,1528221490198,52,0,0,1,0
20190412_18_1,1528221490851,653,0,0,0,0
20190412_18_1,1528221491158,307,0,0,1,0
20190412_18_1,1528221491865,707,0,0,0,0
20190412_18_1,1528221492422,557,0,0,1,0
20190412_18_1,1528221492980,558,0,0,0,0
20190412_18_1,1528221493488,508,0,0,1,0
20190412_18_1,1528221493841,353,0,0,0,0
20190412_18_1,1528221494194,353,0,0,1,0
20190412_18_1,1528221494948,754,0,0,0,0
20190412_18_1,1528221495654,706,0,0,1,0
20190412_18_1,1528221496508,854,0,0,0,0
20190412_18_1,1528221496812,304,0,0,1,0
20190412_18_1,1528221501123,4311,0,0,0,0
20190412_18_1,1528221501476,353,0,0,1,0
20190412_18_1,1528221509545,8069,0,0,1,1
20190412_18_1,1528221509899,354,0,0,0,0
20190412_18_1,1528221509954,55,0,0,1,0
20190412_18_1,1528221510006,52,0,0,0,0
20190412_18_1,1528221510357,351,0,0,1,1
20190412_18_1,1528221510660,303,0,0,1,0
20190412_18_1,1528221510964,304,0,0,1,1
20190412_18_1,1528221511219,255,0,0,0,1
20190412_18_1,1528221511471,252,0,0,0,0
20190412_18_1,1528221511623,152,0,0,1,0
20190412_18_1,1528221511876,253,0,0,1,1
20190412_18_1,1528221511978,102,0,0,0,1
20190412_18_1,1528221512180,202,0,0,1,1
20190412_18_1,1528221512232,52,0,0,1,0
20190412_18_1,1528221512485,253,0,0,1,1
20190412_18_1,1528221512790,305,0,0,0,1
20190412_18_1,1528221512996,206,0,0,0,0
