participant_code,timestamp,interval,red,green,white,black
20190424_30_4,1528245333803,36146,0,0,1,0
20190424_30_4,1528245333855,52,0,0,1,1
20190424_30_4,1528245334558,703,0,0,0,0
20190424_30_4,1528245336716,2158,0,0,1,0
20190424_30_4,1528245337169,453,0,0,1,1
20190424_30_4,1528245338523,1354,0,0,0,1
20190424_30_4,1528245338575,52,0,0,0,0
20190424_30_4,1528245342739,4164,1,1,0,0
20190424_30_4,1528245344346,1607,0,1,0,0
20190424_30_4,1528245344400,54,0,0,0,0
20190424_30_4,1528245344652,252,0,1,0,0
20190424_30_4,1528245344703,51,1,1,0,0
20190424_30_4,1528245346656,1953,0,1,0,0
20190424_30_4,1528245346808,152,0,0,0,0
20190424_30_4,1528245349769,2961,0,0,1,0
20190424_30_4,1528245349971,202,0,0,1,1
20190424_30_4,1528245350372,401,0,0,1,0
20190424_30_4,1528245350724,352,0,0,0,0
20190424_30_4,1528245351929,1205,1,0,0,0
20190424_30_4,1528245352081,152,1,0,1,0
20190424_30_4,1528245353083,1002,1,0,0,0
20190424_30_4,1528245354088,1005,1,0,1,0
20190424_30_4,1528245354139,51,1,0,0,0
20190424_30_4,1528245354441,302,1,0,1,0
20190424_30_4,1528245356297,1856,1,1,1,0
20190424_30_4,1528245356499,202,1,1,1,1
20190424_30_4,1528245357251,752,1,0,1,1
20190424_30_4,1528245357302,51,1,1,1,1
20190424_30_4,1528245358004,702,1,1,1,0
20190424_30_4,1528245358206,202,1,0,1,0
20190424_30_4,1528245358257,51,0,0,1,0
20190424_30_4,1528245358308,51,0,1,1,0
20190424_30_4,1528245358359,51,0,0,0,0
20190424_30_4,1528245360615,2256,0,0,0,1
20190424_30_4,1528245361268,653,0,0,1,1
20190424_30_4,1528245361672,404,0,0,0,1
20190424_30_4,1528245361974,302,0,0,0,0
20190424_30_4,1528245362025,51,0,0,1,0
20190424_30_4,1528245362078,53,1,1,1,0
20190424_30_4,1528245362181,103,1,1,1,1
20190424_30_4,1528245365340,3159,0,1,1,1
20190424_30_4,1528245365392,52,0,0,1,0
20190424_30_4,1528245365443,51,0,0,0,0
20190424_30_4,1528245368653,3210,0,0,1,1
20190424_30_4,1528245371713,3060,0,0,1,0
20190424_30_4,1528245371766,53,0,0,0,0
20190424_30_4,1528245372820,1054,0,1,0,0
20190424_30_4,1528245372873,53,1,1,0,0
20190424_30_4,1528245375131,2258,1,0,0,0
20190424_30_4,1528245375734,603,0,0,0,0
20190424_30_4,1528245376789,1055,0,0,1,0
20190424_30_4,1528245377192,403,0,0,0,0
20190424_30_4,1528245377243,51,1,0,0,0
20190424_30_4,1528245377695,452,1,0,1,0
20190424_30_4,1528245377747,52,1,1,1,0
20190424_30_4,1528245377849,102,1,1,0,0
20190424_30_4,1528245377902,53,1,1,1,0
20190424_30_4,1528245378153,251,1,0,1,0
20190424_30_4,1528245378204,51,1,1,1,0
20190424_30_4,1528245378507,303,1,1,1,1
20190424_30_4,1528245378910,403,1,1,0,1
20190424_30_4,1528245378961,51,1,1,1,1
20190424_30_4,1528245382374,3413,1,0,1,1
20190424_30_4,1528245382677,303,0,0,1,1
20190424_30_4,1528245383079,402,0,0,0,0
20190424_30_4,1528245384484,1405,0,0,0,1
20190424_30_4,1528245384687,203,0,0,1,1
20190424_30_4,1528245385491,804,0,0,0,1
20190424_30_4,1528245385542,51,0,0,0,0
20190424_30_4,1528245386197,655,0,0,0,1
20190424_30_4,1528245386248,51,0,0,0,0
20190424_30_4,1528245388457,2209,0,1,1,0
20190424_30_4,1528245391013,2556,0,0,1,0
20190424_30_4,1528245391316,303,0,0,0,0
20190424_30_4,1528245398739,7423,1,0,0,0
20190424_30_4,1528245398991,252,0,0,0,0
20190424_30_4,1528245399294,303,1,0,0,0
20190424_30_4,1528245399446,152,0,0,0,0
20190424_30_4,1528245399748,302,1,0,0,0
20190424_30_4,1528245399900,152,0,0,0,0
20190424_30_4,1528245400154,254,1,0,0,0
20190424_30_4,1528245400356,202,0,0,0,0
20190424_30_4,1528245400658,302,1,0,0,0
20190424_30_4,1528245400860,202,0,0,0,0
20190424_30_4,1528245401114,254,1,0,0,0
20190424_30_4,1528245401316,202,0,0,0,0
20190424_30_4,1528245410791,9475,0,1,0,0
20190424_30_4,1528245411043,252,0,1,1,0
20190424_30_4,1528245411997,954,0,0,0,0
20190424_30_4,1528245415407,3410,0,0,0,1
20190424_30_4,1528245415558,151,1,0,0,1
20190424_30_4,1528245417064,1506,1,0,0,0
20190424_30_4,1528245417567,503,0,0,0,0
20190424_30_4,1528245418121,554,0,1,0,0
20190424_30_4,1528245418224,103,0,1,1,0
20190424_30_4,1528245422434,4210,0,0,1,0
20190424_30_4,1528245422637,203,0,0,0,0
