participant_code,timestamp,interval,red,green,white,black
20190424_34_3,1528250704233,1455093,0,0,1,1
20190424_34_3,1528250704284,51,1,1,1,1
20190424_34_3,1528250705139,855,0,0,0,0
20190424_34_3,1528250713862,8723,0,0,0,1
20190424_34_3,1528250713914,52,1,1,1,1
20190424_34_3,1528250714317,403,0,1,1,1
20190424_34_3,1528250714368,51,0,0,0,0
20190424_34_3,1528250752411,38043,0,0,1,0
20190424_34_3,1528250753114,703,0,0,0,0
20190424_34_3,1528250756775,3661,1,0,1,0
20190424_34_3,1528250757928,1153,1,0,0,0
20190424_34_3,1528250758030,102,0,0,0,0
20190424_34_3,1528250759084,1054,1,0,0,0
20190424_34_3,1528250759536,452,0,0,0,0
20190424_34_3,1528250772123,12587,0,0,1,0
20190424_34_3,1528250777087,4964,0,0,0,0
20190424_34_3,1528250780249,3162,0,0,1,0
20190424_34_3,1528250780302,53,1,0,1,0
20190424_34_3,1528250783611,3309,1,0,0,0
20190424_34_3,1528250783662,51,0,0,0,0
20190424_34_3,1528250784416,754,1,0,0,0
20190424_34_3,1528250786875,2459,0,0,0,0
20190424_34_3,1528250826373,39498,1,0,0,0
20190424_34_3,1528250826575,202,0,0,0,0
20190424_34_3,1528250826927,352,1,0,0,0
20190424_34_3,1528250827129,202,0,0,0,0
20190424_34_3,1528250827532,403,1,0,0,0
20190424_34_3,1528250827733,201,0,0,0,0
20190424_34_3,1528250828085,352,1,0,0,0
20190424_34_3,1528250828337,252,0,0,0,0
20190424_34_3,1528250828640,303,1,0,0,0
20190424_34_3,1528250828891,251,0,0,0,0
20190424_34_3,1528250829193,302,1,0,0,0
20190424_34_3,1528250829396,203,0,0,0,0
20190424_34_3,1528250844236,14840,0,0,1,0
20190424_34_3,1528250844939,703,0,0,0,0
20190424_34_3,1528250845894,955,0,0,1,0
20190424_34_3,1528250846046,152,0,0,0,0
20190424_34_3,1528250846098,52,1,0,0,0
20190424_34_3,1528250846249,151,1,0,1,0
20190424_34_3,1528250846551,302,1,0,0,0
20190424_34_3,1528250846705,154,0,0,0,0
20190424_34_3,1528250847559,854,1,0,0,0
20190424_34_3,1528250848162,603,0,0,0,0
20190424_34_3,1528250854130,5968,0,1,0,0
20190424_34_3,1528250854232,102,1,1,0,0
20190424_34_3,1528250854735,503,0,1,0,0
20190424_34_3,1528250854788,53,0,0,0,0
20190424_34_3,1528250855390,602,0,0,0,1
20190424_34_3,1528250855643,253,0,0,1,1
20190424_34_3,1528250856145,502,0,0,0,0
20190424_34_3,1528250856648,503,0,1,1,0
20190424_34_3,1528250858755,2107,0,0,0,0
20190424_34_3,1528250863168,4413,0,0,1,0
20190424_34_3,1528250863220,52,0,1,1,0
20190424_34_3,1528250865830,2610,0,0,1,0
20190424_34_3,1528250866082,252,0,0,0,0
