participant_code,timestamp,interval,red,green,white,black
20190429_35_1,1528252606360,1084572,0,0,1,0
20190429_35_1,1528252606664,304,0,0,0,0
20190429_35_1,1528252614888,8224,0,0,1,0
20190429_35_1,1528252615242,354,0,0,0,0
20190429_35_1,1528252615545,303,0,0,1,0
20190429_35_1,1528252616201,656,0,0,0,0
20190429_35_1,1528252618460,2259,0,0,1,0
20190429_35_1,1528252618761,301,0,0,0,0
20190429_35_1,1528252619365,604,0,0,0,1
20190429_35_1,1528252619668,303,0,0,0,0
20190429_35_1,1528252620373,705,0,1,0,0
20190429_35_1,1528252620777,404,0,0,0,0
20190429_35_1,1528252621081,304,1,0,0,0
20190429_35_1,1528252621134,53,1,1,0,0
20190429_35_1,1528252621386,252,0,0,0,0
20190429_35_1,1528252622090,704,0,0,1,0
20190429_35_1,1528252622744,654,0,0,1,1
20190429_35_1,1528252622945,201,0,0,1,0
20190429_35_1,1528252622998,53,0,0,0,0
20190429_35_1,1528252627161,4163,0,0,0,1
20190429_35_1,1528252627263,102,0,0,1,1
20190429_35_1,1528252627567,304,0,0,1,0
20190429_35_1,1528252627669,102,0,0,0,0
20190429_35_1,1528252628023,354,0,0,1,0
20190429_35_1,1528252628177,154,0,0,0,0
20190429_35_1,1528252628230,53,0,0,1,0
20190429_35_1,1528252628483,253,0,0,0,0
20190429_35_1,1528252628736,253,0,0,1,0
20190429_35_1,1528252628887,151,0,0,0,0
20190429_35_1,1528252629692,805,1,0,0,0
20190429_35_1,1528252629844,152,0,0,0,0
20190429_35_1,1528252655116,25272,0,0,1,0
20190429_35_1,1528252655469,353,0,0,0,0
20190429_35_1,1528252659432,3963,0,0,0,1
20190429_35_1,1528252659735,303,0,0,0,0
20190429_35_1,1528252664701,4966,0,1,0,0
20190429_35_1,1528252664853,152,0,0,0,0
20190429_35_1,1528252669367,4514,0,0,1,0
20190429_35_1,1528252669619,252,0,0,0,0
20190429_35_1,1528252683314,13695,1,0,0,0
20190429_35_1,1528252683518,204,0,0,0,0
20190429_35_1,1528252683721,203,1,0,0,0
20190429_35_1,1528252683874,153,0,0,0,0
20190429_35_1,1528252684076,202,1,0,0,0
20190429_35_1,1528252684179,103,0,0,0,0
20190429_35_1,1528252684381,202,1,0,0,0
20190429_35_1,1528252684533,152,0,0,0,0
20190429_35_1,1528252684736,203,1,0,0,0
20190429_35_1,1528252684839,103,0,0,0,0
20190429_35_1,1528252684992,153,1,0,0,0
20190429_35_1,1528252685145,153,0,0,0,0
20190429_35_1,1528252698032,12887,1,0,0,0
20190429_35_1,1528252698135,103,1,0,1,0
20190429_35_1,1528252698337,202,0,0,0,0
20190429_35_1,1528252702049,3712,0,1,0,0
20190429_35_1,1528252702260,211,1,1,0,0
20190429_35_1,1528252702464,204,0,0,0,0
20190429_35_1,1528252704119,1655,0,0,1,1
20190429_35_1,1528252704372,253,0,0,0,0
20190429_35_1,1528252708534,4162,0,0,0,1
20190429_35_1,1528252708586,52,0,0,1,1
20190429_35_1,1528252708940,354,0,0,0,1
20190429_35_1,1528252709042,102,0,0,0,0
20190429_35_1,1528252710348,1306,1,0,0,0
20190429_35_1,1528252710401,53,1,0,0,1
20190429_35_1,1528252710603,202,0,0,0,0
