participant_code,timestamp,interval,red,green,white,black
20190328_07_1,1528197764690,4467764,0,0,1,0
20190328_07_1,1528197764742,52,1,1,1,1
20190328_07_1,1528197765295,553,0,0,1,1
20190328_07_1,1528197765347,52,0,0,0,0
20190328_07_1,1528197767806,2459,0,0,0,1
20190328_07_1,1528197767959,153,0,0,1,1
20190328_07_1,1528197768411,452,0,0,0,0
20190328_07_1,1528197769516,1105,0,1,0,0
20190328_07_1,1528197769568,52,1,1,0,0
20190328_07_1,1528197769970,402,0,0,0,0
20190328_07_1,1528197771826,1856,0,1,0,1
20190328_07_1,1528197772278,452,0,0,0,0
20190328_07_1,1528197773885,1607,0,1,0,1
20190328_07_1,1528197774188,303,0,0,0,0
20190328_07_1,1528197774591,403,0,1,0,1
20190328_07_1,1528197774843,252,0,0,0,0
20190328_07_1,1528197775196,353,0,1,0,1
20190328_07_1,1528197775399,203,0,0,0,0
20190328_07_1,1528197776704,1305,1,0,1,0
20190328_07_1,1528197777007,303,0,0,0,0
20190328_07_1,1528197777209,202,1,0,1,0
20190328_07_1,1528197777362,153,0,0,0,0
20190328_07_1,1528197779168,1806,0,1,0,0
20190328_07_1,1528197779220,52,0,1,0,1
20190328_07_1,1528197780823,1603,0,1,0,0
20190328_07_1,1528197780975,152,0,0,0,0
20190328_07_1,1528197782079,1104,0,1,0,0
20190328_07_1,1528197782132,53,0,1,0,1
20190328_07_1,1528197782282,150,0,1,0,0
20190328_07_1,1528197782334,52,0,0,0,0
20190328_07_1,1528197784641,2307,0,1,0,1
20190328_07_1,1528197786147,1506,0,0,0,1
20190328_07_1,1528197786299,152,0,0,0,0
20190328_07_1,1528197790109,3810,0,1,0,0
20190328_07_1,1528197790211,102,0,1,0,1
20190328_07_1,1528197790464,253,0,0,0,1
20190328_07_1,1528197790518,54,0,0,0,0
20190328_07_1,1528197790771,253,0,1,0,1
20190328_07_1,1528197790972,201,0,0,0,1
20190328_07_1,1528197791025,53,0,0,0,0
20190328_07_1,1528197791326,301,0,1,0,1
20190328_07_1,1528197791531,205,0,0,0,0
20190328_07_1,1528197791837,306,0,1,0,1
20190328_07_1,1528197791993,156,0,0,0,0
