participant_code,timestamp,interval,red,green,white,black
20190403_15_3,1528215612434,9452164,1,0,0,0
20190403_15_3,1528215612536,102,1,0,1,0
20190403_15_3,1528215613041,505,0,0,0,0
20190403_15_3,1528215613350,309,1,0,1,0
20190403_15_3,1528215617773,4423,0,0,1,0
20190403_15_3,1528215617828,55,0,0,0,0
20190403_15_3,1528215619889,2061,1,0,1,0
20190403_15_3,1528215620245,356,1,0,0,0
20190403_15_3,1528215620307,62,0,0,0,0
20190403_15_3,1528215622219,1912,0,0,0,1
20190403_15_3,1528215622777,558,0,0,1,1
20190403_15_3,1528215623234,457,0,0,0,1
20190403_15_3,1528215623293,59,0,0,1,1
20190403_15_3,1528215623349,56,0,0,0,1
20190403_15_3,1528215623455,106,0,0,1,1
20190403_15_3,1528215624164,709,0,0,0,1
20190403_15_3,1528215624370,206,0,0,0,0
20190403_15_3,1528215625177,807,0,1,0,0
20190403_15_3,1528215625233,56,0,0,0,0
20190403_15_3,1528215625288,55,0,1,0,1
20190403_15_3,1528215626398,1110,0,1,0,0
20190403_15_3,1528215626454,56,0,0,0,0
20190403_15_3,1528215627913,1459,0,1,0,0
20190403_15_3,1528215628320,407,1,1,0,0
20190403_15_3,1528215629129,809,0,1,0,0
20190403_15_3,1528215629236,107,0,0,0,0
20190403_15_3,1528215631749,2513,1,0,0,0
20190403_15_3,1528215631805,56,1,0,1,0
20190403_15_3,1528215632212,407,1,0,0,0
20190403_15_3,1528215632268,56,0,0,0,0
20190403_15_3,1528215632575,307,1,0,1,0
20190403_15_3,1528215633835,1260,1,0,0,0
20190403_15_3,1528215633891,56,0,0,0,0
20190403_15_3,1528215634699,808,0,0,1,0
20190403_15_3,1528215634754,55,1,0,1,0
20190403_15_3,1528215635111,357,0,0,1,0
20190403_15_3,1528215635166,55,0,0,0,0
20190403_15_3,1528215635423,257,1,0,1,0
20190403_15_3,1528215635727,304,0,0,0,0
20190403_15_3,1528215637736,2009,1,0,1,0
20190403_15_3,1528215638093,357,0,0,0,0
20190403_15_3,1528215638550,457,1,0,1,0
20190403_15_3,1528215638807,257,0,0,0,0
20190403_15_3,1528215639214,407,1,0,1,0
20190403_15_3,1528215639421,207,0,0,1,0
20190403_15_3,1528215639478,57,0,0,0,0
20190403_15_3,1528215639935,457,1,0,1,0
20190403_15_3,1528215640192,257,0,0,0,0
20190403_15_3,1528215640500,308,1,0,0,0
20190403_15_3,1528215640557,57,1,0,1,0
20190403_15_3,1528215640764,207,0,0,0,0
20190403_15_3,1528215641122,358,1,0,1,0
20190403_15_3,1528215641329,207,0,0,0,0
20190403_15_3,1528215641736,407,0,0,1,0
20190403_15_3,1528215641943,207,0,0,0,0
20190403_15_3,1528215642751,808,1,0,0,0
20190403_15_3,1528215642807,56,0,0,1,0
20190403_15_3,1528215642863,56,1,0,1,0
20190403_15_3,1528215642969,106,0,0,1,0
20190403_15_3,1528215643029,60,1,0,0,0
20190403_15_3,1528215643085,56,0,0,0,0
20190403_15_3,1528215643342,257,1,0,0,0
20190403_15_3,1528215643398,56,1,0,1,0
20190403_15_3,1528215643552,154,0,0,0,0
20190403_15_3,1528215643805,253,1,0,0,0
20190403_15_3,1528215643957,152,0,0,0,0
20190403_15_3,1528215644761,804,0,0,0,1
20190403_15_3,1528215644814,53,1,0,0,1
20190403_15_3,1528215644867,53,1,0,1,1
20190403_15_3,1528215645119,252,0,0,1,1
20190403_15_3,1528215645271,152,1,1,1,1
20190403_15_3,1528215645524,253,1,0,1,0
20190403_15_3,1528215645577,53,0,0,1,0
20190403_15_3,1528215645729,152,1,1,1,1
20190403_15_3,1528215645932,203,1,0,1,0
20190403_15_3,1528215646034,102,1,1,1,1
20190403_15_3,1528215646237,203,1,0,1,0
20190403_15_3,1528215646289,52,0,0,1,0
20190403_15_3,1528215646341,52,0,0,0,0
