participant_code,timestamp,interval,red,green,white,black
20190429_40_0,1528257142801,898097,0,0,0,1
20190429_40_0,1528257143256,455,0,0,0,0
20190429_40_0,1528257145064,1808,0,0,0,1
20190429_40_0,1528257145116,52,0,0,1,1
20190429_40_0,1528257145821,705,0,0,0,1
20190429_40_0,1528257145979,158,0,0,0,0
20190429_40_0,1528257147289,1310,0,1,0,0
20190429_40_0,1528257148298,1009,0,0,0,0
20190429_40_0,1528257151959,3661,1,0,0,0
20190429_40_0,1528257152011,52,1,0,1,0
20190429_40_0,1528257152868,857,0,0,0,0
20190429_40_0,1528257155130,2262,0,0,1,0
20190429_40_0,1528257155184,54,0,0,1,1
20190429_40_0,1528257155988,804,0,0,0,1
20190429_40_0,1528257156040,52,0,0,0,0
20190429_40_0,1528257158700,2660,0,1,0,0
20190429_40_0,1528257158811,111,0,0,0,0
20190429_40_0,1528257158863,52,0,1,0,0
20190429_40_0,1528257158915,52,0,1,0,1
20190429_40_0,1528257159568,653,0,1,0,0
20190429_40_0,1528257159822,254,0,0,0,0
20190429_40_0,1528257163234,3412,0,0,1,0
20190429_40_0,1528257163290,56,1,0,1,0
20190429_40_0,1528257163846,556,1,0,0,0
20190429_40_0,1528257164002,156,0,0,0,0
20190429_40_0,1528257165509,1507,0,0,1,0
20190429_40_0,1528257165913,404,0,0,0,0
20190429_40_0,1528257169624,3711,0,0,1,0
20190429_40_0,1528257169678,54,0,0,1,1
20190429_40_0,1528257170539,861,0,0,0,1
20190429_40_0,1528257170795,256,0,0,0,0
20190429_40_0,1528257174660,3865,1,1,0,0
20190429_40_0,1528257175316,656,0,1,0,0
20190429_40_0,1528257175371,55,0,0,0,0
20190429_40_0,1528257178182,2811,1,0,0,0
20190429_40_0,1528257178234,52,1,0,1,0
20190429_40_0,1528257178537,303,1,0,0,0
20190429_40_0,1528257178590,53,0,0,0,0
20190429_40_0,1528257180599,2009,0,1,0,0
20190429_40_0,1528257180653,54,0,1,0,1
20190429_40_0,1528257181207,554,0,0,0,1
20190429_40_0,1528257181410,203,0,0,0,0
20190429_40_0,1528257182365,955,0,0,1,0
20190429_40_0,1528257182467,102,0,0,0,0
20190429_40_0,1528257183121,654,0,0,0,1
20190429_40_0,1528257183374,253,0,0,0,0
20190429_40_0,1528257184279,905,0,1,0,0
20190429_40_0,1528257184482,203,0,0,0,0
20190429_40_0,1528257186339,1857,1,0,0,0
20190429_40_0,1528257186743,404,0,0,0,0
20190429_40_0,1528257188651,1908,0,0,1,0
20190429_40_0,1528257189054,403,0,0,0,0
20190429_40_0,1528257189658,604,0,1,0,0
20190429_40_0,1528257189962,304,0,0,0,0
20190429_40_0,1528257191970,2008,1,0,0,0
20190429_40_0,1528257192173,203,0,0,0,0
20190429_40_0,1528257192978,805,0,0,0,1
20190429_40_0,1528257193682,704,0,0,0,0
20190429_40_0,1528257194235,553,0,0,1,0
20190429_40_0,1528257194488,253,0,0,0,0
20190429_40_0,1528257195243,755,0,1,0,0
20190429_40_0,1528257195447,204,0,0,0,0
20190429_40_0,1528257196100,653,1,0,0,0
20190429_40_0,1528257196353,253,0,0,0,0
20190429_40_0,1528257197658,1305,0,0,0,1
20190429_40_0,1528257197911,253,0,0,0,0
20190429_40_0,1528257198717,806,0,1,0,0
20190429_40_0,1528257199721,1004,0,0,0,0
20190429_40_0,1528257201729,2008,0,1,0,0
20190429_40_0,1528257202083,354,0,0,0,0
20190429_40_0,1528257203990,1907,1,0,0,0
20190429_40_0,1528257204193,203,0,0,0,0
20190429_40_0,1528257205499,1306,0,0,1,0
20190429_40_0,1528257205752,253,0,0,0,0
20190429_40_0,1528257206256,504,0,1,0,0
20190429_40_0,1528257206459,203,0,0,0,0
20190429_40_0,1528257208015,1556,0,1,0,0
20190429_40_0,1528257208620,605,0,0,0,0
20190429_40_0,1528257210526,1906,0,0,1,0
20190429_40_0,1528257210930,404,0,0,0,0
20190429_40_0,1528257211784,854,1,0,0,0
20190429_40_0,1528257211886,102,0,0,0,0
20190429_40_0,1528257211938,52,1,0,0,0
20190429_40_0,1528257212040,102,0,0,0,0
20190429_40_0,1528257213044,1004,0,1,0,0
20190429_40_0,1528257213297,253,0,0,0,0
20190429_40_0,1528257214052,755,0,0,0,1
20190429_40_0,1528257214306,254,0,0,0,0
20190429_40_0,1528257215260,954,0,0,1,0
20190429_40_0,1528257215564,304,0,0,0,0
20190429_40_0,1528257216369,805,1,0,0,0
20190429_40_0,1528257216672,303,0,0,0,0
20190429_40_0,1528257217526,854,0,1,0,0
20190429_40_0,1528257217778,252,0,0,0,0
20190429_40_0,1528257218381,603,0,0,0,1
20190429_40_0,1528257219787,1406,0,0,0,0
20190429_40_0,1528257220691,904,0,0,1,0
20190429_40_0,1528257220994,303,0,0,0,0
20190429_40_0,1528257221699,705,0,1,0,0
20190429_40_0,1528257221902,203,0,0,0,0
20190429_40_0,1528257231478,9576,1,0,0,0
20190429_40_0,1528257231731,253,0,0,0,0
20190429_40_0,1528257232034,303,1,0,0,0
20190429_40_0,1528257232237,203,0,0,0,0
20190429_40_0,1528257232540,303,1,0,0,0
20190429_40_0,1528257232693,153,0,0,0,0
20190429_40_0,1528257232996,303,1,0,0,0
20190429_40_0,1528257233199,203,0,0,0,0
20190429_40_0,1528257233503,304,1,0,0,0
20190429_40_0,1528257233706,203,0,0,0,0
20190429_40_0,1528257233959,253,1,0,0,0
20190429_40_0,1528257234162,203,0,0,0,0
20190429_40_0,1528257248103,13941,0,1,0,1
20190429_40_0,1528257248606,503,0,1,0,0
20190429_40_0,1528257248709,103,0,0,0,0
20190429_40_0,1528257252671,3962,1,0,1,0
20190429_40_0,1528257253425,754,1,0,0,0
20190429_40_0,1528257253478,53,0,0,0,0
20190429_40_0,1528257257642,4164,1,0,0,1
20190429_40_0,1528257258546,904,0,0,0,0
20190429_40_0,1528257265716,7170,0,1,1,0
20190429_40_0,1528257266070,354,0,0,0,0
20190429_40_0,1528257275297,9227,1,0,0,0
20190429_40_0,1528257275400,103,1,0,0,1
20190429_40_0,1528257275953,553,0,0,0,1
20190429_40_0,1528257276005,52,0,0,0,0
