participant_code,timestamp,interval,red,green,white,black
20190429_39_1,1528256167179,1111630,0,0,1,0
20190429_39_1,1528256167834,655,0,0,0,0
20190429_39_1,1528256170845,3011,0,0,1,1
20190429_39_1,1528256171298,453,0,0,0,1
20190429_39_1,1528256171350,52,0,0,0,0
20190429_39_1,1528256172706,1356,0,1,0,0
20190429_39_1,1528256172758,52,0,1,1,0
20190429_39_1,1528256173161,403,0,1,0,0
20190429_39_1,1528256173213,52,0,0,0,0
20190429_39_1,1528256176073,2860,1,0,1,0
20190429_39_1,1528256176477,404,0,0,1,0
20190429_39_1,1528256176529,52,0,0,0,0
20190429_39_1,1528256177584,1055,0,0,1,0
20190429_39_1,1528256178088,504,0,0,0,0
20190429_39_1,1528256180747,2659,0,0,0,1
20190429_39_1,1528256180950,203,0,0,0,0
20190429_39_1,1528256181002,52,0,0,0,1
20190429_39_1,1528256181104,102,0,0,0,0
20190429_39_1,1528256181907,803,0,1,0,0
20190429_39_1,1528256182209,302,0,0,0,0
20190429_39_1,1528256183514,1305,1,0,0,0
20190429_39_1,1528256183817,303,0,0,0,0
20190429_39_1,1528256190085,6268,0,0,1,0
20190429_39_1,1528256190438,353,0,0,0,0
20190429_39_1,1528256190641,203,0,0,1,0
20190429_39_1,1528256190793,152,0,0,0,0
20190429_39_1,1528256192650,1857,0,0,1,0
20190429_39_1,1528256192853,203,0,0,0,0
20190429_39_1,1528256193357,504,0,0,0,1
20190429_39_1,1528256193610,253,0,0,0,0
20190429_39_1,1528256196220,2610,0,1,1,0
20190429_39_1,1528256196473,253,0,0,1,0
20190429_39_1,1528256196525,52,0,0,0,0
20190429_39_1,1528256198084,1559,1,0,0,1
20190429_39_1,1528256198287,203,0,0,0,0
20190429_39_1,1528256200195,1908,0,0,0,1
20190429_39_1,1528256200398,203,1,0,0,1
20190429_39_1,1528256200550,152,1,0,0,0
20190429_39_1,1528256200753,203,0,0,0,0
20190429_39_1,1528256201056,303,0,0,0,1
20190429_39_1,1528256201159,103,1,0,0,1
20190429_39_1,1528256201412,253,1,0,0,0
20190429_39_1,1528256201465,53,0,0,0,0
20190429_39_1,1528256201768,303,1,0,0,1
20190429_39_1,1528256201971,203,1,0,0,0
20190429_39_1,1528256202024,53,0,0,0,0
20190429_39_1,1528256202277,253,0,0,0,1
20190429_39_1,1528256202329,52,1,0,0,1
20190429_39_1,1528256202582,253,0,0,0,0
20190429_39_1,1528256203888,1306,0,0,0,1
20190429_39_1,1528256204041,153,1,0,0,1
20190429_39_1,1528256204193,152,0,0,0,1
20190429_39_1,1528256204295,102,0,0,0,0
20190429_39_1,1528256204547,252,0,0,0,1
20190429_39_1,1528256204599,52,1,0,0,1
20190429_39_1,1528256204752,153,0,0,0,1
20190429_39_1,1528256204855,103,0,0,0,0
20190429_39_1,1528256205058,203,0,0,0,1
20190429_39_1,1528256205111,53,1,0,0,1
20190429_39_1,1528256205313,202,0,0,0,0
20190429_39_1,1528256205616,303,0,0,0,1
20190429_39_1,1528256205668,52,1,0,0,1
20190429_39_1,1528256205820,152,0,0,0,1
20190429_39_1,1528256205923,103,0,0,0,0
20190429_39_1,1528256206125,202,1,0,0,1
20190429_39_1,1528256206378,253,0,0,0,1
20190429_39_1,1528256206431,53,0,0,0,0
20190429_39_1,1528256206685,254,0,0,0,1
20190429_39_1,1528256206737,52,1,0,0,1
20190429_39_1,1528256206889,152,0,0,0,1
20190429_39_1,1528256206991,102,0,0,0,0
20190429_39_1,1528256207244,253,0,0,0,1
20190429_39_1,1528256207547,303,1,0,0,1
20190429_39_1,1528256207950,403,0,0,0,1
20190429_39_1,1528256208152,202,1,0,0,1
20190429_39_1,1528256214320,6168,1,0,0,0
20190429_39_1,1528256214775,455,0,0,0,0
20190429_39_1,1528256215934,1159,0,0,0,1
20190429_39_1,1528256215990,56,1,0,0,1
20190429_39_1,1528256216196,206,0,0,0,0
20190429_39_1,1528256216402,206,0,0,0,1
20190429_39_1,1528256216508,106,1,0,0,1
20190429_39_1,1528256216664,156,1,0,0,0
20190429_39_1,1528256216720,56,0,0,0,0
20190429_39_1,1528256216875,155,0,0,0,1
20190429_39_1,1528256216927,52,1,0,0,1
20190429_39_1,1528256217080,153,0,0,0,0
20190429_39_1,1528256217333,253,1,0,0,1
20190429_39_1,1528256217435,102,0,0,0,0
20190429_39_1,1528256217688,253,0,0,0,1
20190429_39_1,1528256217740,52,1,0,0,0
20190429_39_1,1528256217842,102,0,0,0,0
20190429_39_1,1528256218045,203,1,0,0,1
20190429_39_1,1528256218197,152,1,0,0,0
20190429_39_1,1528256218249,52,0,0,0,0
20190429_39_1,1528256218402,153,0,0,0,1
20190429_39_1,1528256218505,103,1,0,0,1
20190429_39_1,1528256218657,152,1,0,0,0
20190429_39_1,1528256218710,53,0,0,0,0
20190429_39_1,1528256218862,152,1,0,0,1
20190429_39_1,1528256219065,203,0,0,0,0
20190429_39_1,1528256220271,1206,0,0,0,1
20190429_39_1,1528256220522,251,0,0,0,0
20190429_39_1,1528256220625,103,0,0,0,1
20190429_39_1,1528256220779,154,1,0,0,1
20190429_39_1,1528256220881,102,1,0,0,0
20190429_39_1,1528256220984,103,0,0,0,0
20190429_39_1,1528256221087,103,0,0,0,1
20190429_39_1,1528256221140,53,1,0,0,1
20190429_39_1,1528256221243,103,1,0,0,0
20190429_39_1,1528256221295,52,0,0,0,0
20190429_39_1,1528256221397,102,0,0,0,1
20190429_39_1,1528256221500,103,1,0,0,1
20190429_39_1,1528256221551,51,1,0,0,0
20190429_39_1,1528256221603,52,0,0,0,0
20190429_39_1,1528256221705,102,0,0,0,1
20190429_39_1,1528256221857,152,1,0,0,0
20190429_39_1,1528256221959,102,0,0,0,0
20190429_39_1,1528256222011,52,0,0,0,1
20190429_39_1,1528256222114,103,1,0,0,1
20190429_39_1,1528256222166,52,1,0,0,0
20190429_39_1,1528256222218,52,0,0,0,0
20190429_39_1,1528256222371,153,1,0,0,1
20190429_39_1,1528256222523,152,1,0,0,0
20190429_39_1,1528256222676,153,0,0,0,0
20190429_39_1,1528256222729,53,0,0,0,1
20190429_39_1,1528256222781,52,1,0,0,1
20190429_39_1,1528256222883,102,1,0,0,0
20190429_39_1,1528256223035,152,1,0,0,1
20190429_39_1,1528256223187,152,1,0,0,0
20190429_39_1,1528256223339,152,0,0,0,1
20190429_39_1,1528256223492,153,0,0,0,0
20190429_39_1,1528256223645,153,0,0,0,1
20190429_39_1,1528256223848,203,0,0,0,0
20190429_39_1,1528256224001,153,0,0,0,1
20190429_39_1,1528256224204,203,0,0,0,0
20190429_39_1,1528256224407,203,0,0,0,1
20190429_39_1,1528256224660,253,0,0,0,0
20190429_39_1,1528256225715,1055,1,0,0,0
20190429_39_1,1528256225918,203,0,0,0,0
20190429_39_1,1528256226821,903,0,0,0,1
20190429_39_1,1528256226874,53,1,0,0,1
20190429_39_1,1528256227026,152,1,0,0,0
20190429_39_1,1528256227078,52,0,0,0,0
20190429_39_1,1528256227180,102,0,0,0,1
20190429_39_1,1528256227383,203,0,0,0,0
20190429_39_1,1528256227485,102,1,0,0,0
20190429_39_1,1528256227538,53,1,0,0,1
20190429_39_1,1528256227691,153,1,0,0,0
20190429_39_1,1528256227743,52,0,0,0,0
20190429_39_1,1528256227845,102,0,0,0,1
20190429_39_1,1528256227948,103,1,0,0,1
20190429_39_1,1528256228000,52,1,0,0,0
20190429_39_1,1528256228052,52,0,0,0,0
20190429_39_1,1528256228154,102,0,0,0,1
20190429_39_1,1528256228357,203,0,0,0,0
20190429_39_1,1528256228560,203,0,0,0,1
20190429_39_1,1528256228713,153,0,0,0,0
20190429_39_1,1528256228916,203,1,0,0,0
20190429_39_1,1528256229019,103,1,0,0,1
20190429_39_1,1528256229222,203,1,0,0,0
20190429_39_1,1528256229325,103,0,0,0,0
20190429_39_1,1528256229427,102,0,0,0,1
20190429_39_1,1528256229580,153,0,0,0,0
20190429_39_1,1528256229783,203,0,0,0,1
20190429_39_1,1528256229886,103,0,0,0,0
20190429_39_1,1528256230088,202,0,0,0,1
20190429_39_1,1528256230241,153,0,0,0,0
20190429_39_1,1528256230393,152,0,0,0,1
20190429_39_1,1528256230597,204,0,0,0,0
20190429_39_1,1528256230751,154,1,0,0,1
20190429_39_1,1528256230953,202,1,0,0,0
20190429_39_1,1528256231006,53,0,0,0,0
20190429_39_1,1528256231259,253,0,0,0,1
20190429_39_1,1528256231412,153,1,0,0,1
20190429_39_1,1528256231465,53,0,0,0,0
20190429_39_1,1528256233024,1559,1,0,0,1
20190429_39_1,1528256233276,252,0,0,0,0
20190429_39_1,1528256233630,354,1,0,0,1
20190429_39_1,1528256233832,202,0,0,0,0
20190429_39_1,1528256234085,253,1,0,0,1
20190429_39_1,1528256234287,202,0,0,0,0
20190429_39_1,1528256238803,4516,1,0,0,0
20190429_39_1,1528256238905,102,0,0,0,0
20190429_39_1,1528256239058,153,1,0,0,0
20190429_39_1,1528256239210,152,0,0,0,0
20190429_39_1,1528256239363,153,1,0,0,0
20190429_39_1,1528256239466,103,0,0,0,0
20190429_39_1,1528256239619,153,1,0,0,0
20190429_39_1,1528256239722,103,0,0,0,0
20190429_39_1,1528256239875,153,1,0,0,0
20190429_39_1,1528256239978,103,0,0,0,0
20190429_39_1,1528256240131,153,1,0,0,0
20190429_39_1,1528256240284,153,0,0,0,0
20190429_39_1,1528256244298,4014,0,0,0,1
20190429_39_1,1528256244351,53,1,0,0,1
20190429_39_1,1528256244704,353,0,0,0,0
