participant_code,timestamp,interval,red,green,white,black
20190424_29_3,1528239754680,958,0,0,0,1
20190424_29_3,1528239754886,206,0,0,0,0
20190424_29_3,1528239754943,57,0,0,1,0
20190424_29_3,1528239754999,56,0,0,1,1
20190424_29_3,1528239755306,307,0,0,0,1
20190424_29_3,1528239755712,406,1,0,1,1
20190424_29_3,1528239755824,112,1,1,1,1
20190424_29_3,1528239756029,205,1,1,1,0
20190424_29_3,1528239756183,154,1,1,0,0
20190424_29_3,1528239756287,104,1,1,1,0
20190424_29_3,1528239756391,104,1,0,1,0
20190424_29_3,1528239756495,104,1,1,1,0
20190424_29_3,1528239756548,53,1,0,1,0
20190424_29_3,1528239756950,402,1,1,1,1
20190424_29_3,1528239757052,102,0,1,1,1
20190424_29_3,1528239757305,253,1,1,1,1
20190424_29_3,1528239757707,402,1,1,0,1
20190424_29_3,1528239757759,52,1,1,0,0
20190424_29_3,1528239757912,153,1,0,0,0
20190424_29_3,1528239758315,403,0,0,0,0
20190424_29_3,1528239758867,552,1,1,0,0
20190424_29_3,1528239759123,256,0,1,0,0
20190424_29_3,1528239759230,107,1,1,0,0
20190424_29_3,1528239759285,55,1,0,0,0
20190424_29_3,1528239759742,457,0,0,0,0
20190424_29_3,1528239761051,1309,0,0,1,0
20190424_29_3,1528239761207,156,0,1,1,0
20190424_29_3,1528239761261,54,0,1,0,0
20190424_29_3,1528239761313,52,0,0,1,0
20190424_29_3,1528239761366,53,0,0,0,0
20190424_29_3,1528239761417,51,0,0,1,0
20190424_29_3,1528239762171,754,0,0,0,0
20190424_29_3,1528239762473,302,0,0,1,0
20190424_29_3,1528239762928,455,1,0,1,0
20190424_29_3,1528239763481,553,0,0,1,0
20190424_29_3,1528239763684,203,0,1,1,0
20190424_29_3,1528239764687,1003,0,0,1,0
20190424_29_3,1528239764839,152,0,1,1,0
20190424_29_3,1528239765241,402,1,1,1,0
20190424_29_3,1528239765394,153,0,1,1,0
20190424_29_3,1528239765495,101,0,0,0,0
20190424_29_3,1528239765749,254,0,1,1,0
20190424_29_3,1528239766152,403,0,1,0,0
20190424_29_3,1528239766204,52,0,0,0,0
20190424_29_3,1528239766506,302,0,1,0,0
20190424_29_3,1528239766560,54,0,1,1,0
20190424_29_3,1528239766913,353,0,1,0,0
20190424_29_3,1528239766966,53,0,0,0,0
20190424_29_3,1528239767218,252,0,0,1,0
20190424_29_3,1528239767271,53,0,1,1,0
20190424_29_3,1528239767474,203,0,1,0,0
20190424_29_3,1528239767575,101,0,0,0,0
20190424_29_3,1528239768027,452,0,1,0,0
20190424_29_3,1528239768129,102,0,1,1,0
20190424_29_3,1528239768281,152,0,0,0,0
20190424_29_3,1528239768789,508,0,1,0,0
20190424_29_3,1528239768842,53,0,1,1,0
20190424_29_3,1528239768893,51,1,1,1,0
20190424_29_3,1528239769096,203,0,0,0,0
20190424_29_3,1528239769600,504,0,1,1,0
20190424_29_3,1528239769652,52,1,1,1,0
20190424_29_3,1528239769905,253,0,0,0,0
20190424_29_3,1528239770409,504,0,0,1,0
20190424_29_3,1528239770462,53,0,1,1,0
20190424_29_3,1528239770564,102,0,0,1,0
20190424_29_3,1528239770816,252,0,0,0,0
20190424_29_3,1528239771370,554,0,1,0,0
20190424_29_3,1528239771472,102,0,0,0,0
20190424_29_3,1528239771574,102,1,0,0,0
20190424_29_3,1528239771725,151,0,0,0,0
20190424_29_3,1528239772278,553,1,0,0,0
20190424_29_3,1528239772631,353,0,0,0,0
20190424_29_3,1528239773184,553,1,0,0,0
20190424_29_3,1528239773237,53,1,0,1,0
20190424_29_3,1528239773289,52,1,1,1,0
20190424_29_3,1528239773491,202,1,0,1,0
20190424_29_3,1528239773543,52,0,0,0,0
20190424_29_3,1528239773996,453,1,0,0,0
20190424_29_3,1528239774048,52,1,1,1,0
20190424_29_3,1528239774200,152,1,0,1,0
20190424_29_3,1528239774253,53,1,0,0,0
20190424_29_3,1528239774305,52,0,0,0,0
20190424_29_3,1528239774858,553,0,1,1,0
20190424_29_3,1528239774915,57,1,1,1,0
20190424_29_3,1528239775519,604,1,0,0,0
20190424_29_3,1528239775570,51,0,0,0,0
20190424_29_3,1528239775923,353,1,0,0,0
20190424_29_3,1528239776026,103,1,1,1,0
20190424_29_3,1528239779736,3710,1,0,1,0
20190424_29_3,1528239779888,152,1,1,1,0
20190424_29_3,1528239780392,504,1,0,1,0
20190424_29_3,1528239781397,1005,0,0,1,0
20190424_29_3,1528239781900,503,0,1,1,0
20190424_29_3,1528239782702,802,1,1,1,0
20190424_29_3,1528239782754,52,1,1,1,1
20190424_29_3,1528239784813,2059,0,1,1,1
20190424_29_3,1528239784916,103,0,0,0,0
20190424_29_3,1528239785570,654,1,0,0,1
20190424_29_3,1528239785622,52,1,0,1,1
20190424_29_3,1528239785924,302,1,0,1,0
20190424_29_3,1528239786027,103,0,0,1,0
20190424_29_3,1528239786078,51,0,0,0,0
20190424_29_3,1528239789137,3059,0,0,0,1
20190424_29_3,1528239790843,1706,1,0,0,1
20190424_29_3,1528239790948,105,1,0,1,1
20190424_29_3,1528239791856,908,0,0,1,1
20190424_29_3,1528239791908,52,1,0,1,1
20190424_29_3,1528239792010,102,0,0,1,1
20190424_29_3,1528239792111,101,1,0,1,1
20190424_29_3,1528239792262,151,0,0,1,1
20190424_29_3,1528239792614,352,0,0,0,1
20190424_29_3,1528239792666,52,0,0,0,0
20190424_29_3,1528239792718,52,0,0,1,0
20190424_29_3,1528239792970,252,1,0,1,0
20190424_29_3,1528239793371,401,1,0,1,1
20190424_29_3,1528239793573,202,1,0,1,0
